Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
United-States,16322,0.8905,0.8905,0.4859,0.4901,0.1160,0.1032,0.8840,0.8968
Puerto-Rico,100,0.9600,0.9597,0.5300,0.5500,0.0545,0.0222,0.9455,0.9778
Yugoslavia,6,0.3333,0.2500,0.5000,0.1667,1.0000,0.6000,0.0000,0.4000
Iran,45,0.8222,0.7727,0.7111,0.7556,0.1471,0.2727,0.8529,0.7273
Germany,80,0.8875,0.8875,0.4875,0.5000,0.1250,0.1000,0.8750,0.9000
Cuba,37,0.8919,0.8879,0.4054,0.4054,0.1333,0.0909,0.8667,0.9091
Trinadad&Tobago,87,0.9425,0.8523,0.8851,0.8966,0.0385,0.2222,0.9615,0.7778
Missing,219,0.8447,0.8157,0.2968,0.3059,0.2687,0.1053,0.7313,0.8947
Greece,28,0.8929,0.8303,0.8214,0.7857,0.0455,0.3333,0.9545,0.6667
Poland,63,0.9841,0.9734,0.8254,0.8095,0.0000,0.0833,1.0000,0.9167
Laos,39,0.9744,0.9372,0.8718,0.8974,0.0286,0.0000,0.9714,1.0000
South,69,0.9710,0.9637,0.7246,0.7246,0.0200,0.0526,0.9800,0.9474
Dominican-Republic,32,0.8750,0.8730,0.4375,0.4375,0.1429,0.1111,0.8571,0.8889
Haiti,49,0.9184,0.9099,0.6531,0.6531,0.0625,0.1176,0.9375,0.8824
Honduras,27,1.0000,1.0000,0.7037,0.7037,0.0000,0.0000,1.0000,1.0000
Mexico,252,0.9563,0.9262,0.1746,0.1865,0.1489,0.0195,0.8511,0.9805
Jamaica,56,0.9464,0.9443,0.5714,0.6250,0.0857,0.0000,0.9143,1.0000
Taiwan,74,0.9595,0.9003,0.8784,0.8919,0.0303,0.1250,0.9697,0.8750
Canada,60,0.9167,0.9165,0.4667,0.4833,0.1034,0.0645,0.8966,0.9355
Columbia,32,1.0000,1.0000,0.4375,0.4375,0.0000,0.0000,1.0000,1.0000
China,37,0.7838,0.7798,0.4595,0.4054,0.2000,0.2273,0.8000,0.7727
Peru,47,1.0000,1.0000,0.7872,0.7872,0.0000,0.0000,1.0000,1.0000
England,50,0.8600,0.8586,0.4000,0.5000,0.2400,0.0400,0.7600,0.9600
Portugal,55,0.9455,0.8956,0.8182,0.8727,0.0625,0.0000,0.9375,1.0000
Philippines,120,0.8667,0.8661,0.5417,0.5250,0.1111,0.1579,0.8889,0.8421
Vietnam,29,0.8621,0.8389,0.3793,0.2414,0.0000,0.1818,1.0000,0.8182
Outlying-US(Guam-USVI-etc),34,1.0000,1.0000,0.7353,0.7353,0.0000,0.0000,1.0000,1.0000
Scotland,56,0.9821,0.9396,0.9107,0.9286,0.0192,0.0000,0.9808,1.0000
Nicaragua,46,0.9565,0.9544,0.5870,0.6304,0.0690,0.0000,0.9310,1.0000
Ireland,34,0.9118,0.8717,0.7647,0.7941,0.0741,0.1429,0.9259,0.8571
Hungary,23,0.9130,0.8083,0.8696,0.8696,0.0500,0.3333,0.9500,0.6667
Italy,45,0.9111,0.9089,0.5556,0.6000,0.1111,0.0556,0.8889,0.9444
India,55,0.8000,0.7815,0.6364,0.6545,0.1667,0.2632,0.8333,0.7368
Thailand,68,0.9706,0.9292,0.8824,0.8824,0.0167,0.1250,0.9833,0.8750
El-Salvador,42,0.9524,0.9344,0.2143,0.2619,0.1818,0.0000,0.8182,1.0000
Guatemala,34,1.0000,1.0000,0.3824,0.3824,0.0000,0.0000,1.0000,1.0000
Japan,45,0.9556,0.9515,0.6444,0.6444,0.0345,0.0625,0.9655,0.9375
Hong,22,0.9545,0.9394,0.7727,0.7273,0.0000,0.1667,1.0000,0.8333
France,19,0.7895,0.6042,0.8947,0.7895,0.0667,0.7500,0.9333,0.2500
Holand-Netherlands,16,0.9375,0.4839,0.9375,1.0000,0.0625,0,0.9375,0
Ecuador,12,1.0000,1.0000,0.4167,0.4167,0.0000,0.0000,1.0000,1.0000
Cambodia,12,0.6667,0.6250,0.5833,0.7500,0.3333,0.3333,0.6667,0.6667
